Record,fvegHW90mask,aet_90m,cwd_90m,ppt_90m,pptdjf_90m,pptjja_90m,tmn_90m,tmx_90m,tmxjja_90m,tmndjf_90m,longitude,latitude
6426,2,347.0466919,954.1166992,533.6832886,92.31340027,2.094399929,9.066699982,23.8567009,33.90390015,3.797800064,-82303.36292,19055.1924
3099,15,601.623291,434.5867004,1465.41333,263.1312866,9.024600029,6.74669981,19.86669922,28.40719986,3.53399992,-329083.5836,242439.3369
13491,3,113.0932999,1458.416748,120.25,20.66710091,3.845200062,10.07330036,26.87999916,37.68830109,1.556599975,258825.5935,-332121.962
2739,15,336.1133118,834.8267212,758.7932739,131.7272949,7.917099953,9.079999924,23.91670036,34.34790039,2.993400097,-194619.6035,265135.5306
17053,15,341.1199951,955.0233154,473.8033142,84.09259796,9.568799973,8.156700134,22.37669945,31.5048008,2.443300009,290442.5369,-509301.5402
10237,11,204.7899933,1209.783325,209.9600067,36.63280106,0.808099985,9.683300018,24.70000076,34.78120041,3.065099955,26371.85481,-190843.5037
17879,8,378.6799927,938.6066895,515.1766968,88.63929749,9.793199539,6.230000019,21.63669968,30.04210091,1.729400039,327461.4118,-576618.2168
5549,11,551.0999756,660.7467041,1072.56665,205.3213959,2.434000015,7.816699982,22.95000076,30.35140038,3.989799976,-249470.7789,77226.76714
6324,2,306.3833008,982.8666992,481.4566956,92.19740295,1.368899941,9.213299751,23.0333004,31.28800011,4.029300213,-155290.7351,25476.68562
8737,3,138.0632935,1175.093262,160.6766968,25.38170052,7.186100006,7.269999981,21.97999954,33.48270035,-1.924900055,186265.5012,-115013.3571
14396,5,102.0400009,1437.293335,103.3933029,13.99979973,8.395600319,12.9467001,29.06669998,40.26110077,3.723999977,374073.485,-367817.032
7976,7,323.0766907,615.6433105,965.5067139,161.5131989,9.235799789,2.706700087,16.26000023,25.09720039,-3.084800005,68410.79974,-75425.6259
8210,11,283.5932922,1072.109985,319.7900085,57.56010056,1.175199986,9.313300133,24.51000023,34.36180115,3.484699965,-40608.09932,-86957.93518
