"","fvegHW90mask","bird90","mammal90","reptile90","aetmay_90m","cwdmay_90m","pptmay_90m","pptdjf_90m","pptjja_90m","tmnmay_90m","tmxmay_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"94",8,140,64,17,35.3256988525391,105.095703125,32.3357009887695,84.9169006347656,13.4237003326416,5.48799991607666,23.0053005218506,31.1790008544922,-1.7166999578476,-221231.597704275,426894.387984076
"95",15,177,45,15,155.89469909668,2.21199989318848,34.7939987182617,202.842407226562,3.02369999885559,8.86200046539307,24.8523006439209,30.7992992401123,4.66400003433228,-221853.209574503,39284.3713840563
"96",15,171,54,17,101.556701660156,55.0900001525879,38.6547012329102,224.608001708984,2.55460000038147,7.90070009231567,23.4109992980957,27.656099319458,3.87190008163452,-251601.813149838,44558.6040034126
"97",8,177,45,15,143.059295654297,13.4607000350952,37.4570007324219,215.301803588867,3.27360010147095,8.86030006408691,24.7887001037598,30.9204006195068,5.00339984893799,-222376.198477293,39320.6526354323
"98",15,139,64,18,60.3273010253906,79.1193008422852,42.4959983825684,166.515396118164,9.54710006713867,6.34170007705688,25.1359996795654,33.0878982543945,0.799300014972687,-264324.309923736,310996.334268452
"99",7,161,60,19,143.148696899414,0.59469997882843,46.7703018188477,144.512298583984,9.77579975128174,6.04330015182495,24.0813007354736,32.0842018127441,0.14020000398159,-236997.225125548,306797.224829723
"100",15,124,58,19,53.1142997741699,111.965698242188,31.8843002319336,124.720802307129,6.64219999313354,10.7876996994019,25.2863006591797,33.2206001281738,2.56520009040833,108466.175368748,-166133.093513317
"101",15,145,57,20,95.8253021240234,61.9080009460449,41.4333000183105,165.56120300293,4.06160020828247,7.65829992294312,23.5020008087158,31.5596008300781,1.03390002250671,-28838.7388476629,-812.129828387871
"102",15,142,55,20,87.1356964111328,71.7042999267578,39.9212989807129,157.541305541992,3.73370003700256,8.11970043182373,24.2210006713867,32.1478996276855,1.47130000591278,-35085.6983264228,2299.01017116848
"103",7,134,60,16,104.103302001953,44.2233009338379,48.5693016052246,186.208404541016,6.00890016555786,6.3786997795105,22.6756992340088,30.492000579834,-0.446399986743927,-18957.9658381529,6137.40341745736
"104",7,140,58,20,121.839996337891,28.7800006866455,49.1172981262207,187.443206787109,5.60510015487671,6.99300003051758,21.3416996002197,29.5750999450684,0.1300999969244,-24411.364382527,5750.32776504057
"105",15,142,55,20,86.4673004150391,72.8727035522461,39.1969985961914,155.899002075195,3.6554000377655,8.26900005340576,24.4076995849609,32.2636985778809,1.62929999828339,-34975.8647686419,1945.03460605955
"106",2,144,46,17,33.7179985046387,125.512001037598,25.5687007904053,121.487602233887,2.4818000793457,9.70400047302246,25.4309997558594,32.2186012268066,3.57870006561279,-194488.854841785,92722.5480787139
"107",2,139,39,15,28.8759994506836,134.377304077148,28.0713005065918,100.744003295898,4.65539979934692,11.9409999847412,27.1690006256104,34.5155982971191,3.59500002861023,-197626.757727596,212648.670875504
